id	style	category	period	duration_seconds	wav	text	status	quality_flags
whisper__goodMorning__night__10	whisper	goodMorning	night	8.66	whisper_wav/whisper__goodMorning__night__10.wav	おはよう。起きる時間だよ。用事が終わったら、私のとこに戻ってきてね。約束だよ。	approved	
whisper__goodMorning__night__02	whisper	goodMorning	night	8.567	whisper_wav/whisper__goodMorning__night__02.wav	おはよう。こんな時間からどこ行くの?私はいつでもあなたの味方だからね。	approved	
whisper__goodMorning__night__03	whisper	goodMorning	night	8.381	whisper_wav/whisper__goodMorning__night__03.wav	おはよう。ねえ、あなたのことさ。あたしが一番わかってるつもりなんだよね。	approved	
whisper__goodMorning__night__04	whisper	goodMorning	night	7.963	whisper_wav/whisper__goodMorning__night__04.wav	おはよう。起きる時間だよ。私、いつもあなたのそばにいるからね。	approved	
whisper__goodMorning__night__05	whisper	goodMorning	night	9.124	whisper_wav/whisper__goodMorning__night__05.wav	おはよう。こんな時間に目覚ましなんてこれから何かするの?私も調合の勉強しようかな。	approved	
whisper__goodMorning__night__06	whisper	goodMorning	night	8.752	whisper_wav/whisper__goodMorning__night__06.wav	おはよう。起きる時間だよ。私も一緒に夜更かししちゃおっかな。	approved	
whisper__goodMorning__night__07	whisper	goodMorning	night	8.474	whisper_wav/whisper__goodMorning__night__07.wav	おはよう。起きる時間だよ。ちゃんと寝れた?無理しないでね。	approved	
whisper__goodMorning__night__08	whisper	goodMorning	night	8.799	whisper_wav/whisper__goodMorning__night__08.wav	おはよう。なんか夜っていつもよりあなたに甘えたくなっちゃうな。ほら、起きて。	approved	
whisper__goodMorning__night__09	whisper	goodMorning	night	8.938	whisper_wav/whisper__goodMorning__night__09.wav	おはよう。こんな時間から頑張るあなた、すごいと思う。私も一緒に頑張っちゃおうかな。	approved	
whisper__playWithMe__daytime__01	whisper	playWithMe	daytime	7.638	whisper_wav/whisper__playWithMe__daytime__01.wav	ねえねえ、そればっかりじゃなくてさ、私のことも構ってよ。ねえ。	approved	
whisper__playWithMe__daytime__10	whisper	playWithMe	daytime	5.177	whisper_wav/whisper__playWithMe__daytime__10.wav	ねぇ、今時間ある?さっき変なもの見つけちゃってさ。	approved	
whisper__playWithMe__daytime__02	whisper	playWithMe	daytime	7.452	whisper_wav/whisper__playWithMe__daytime__02.wav	何やってるの?私もやりたいの?え、だめ。じゃあ隣にいるね。	approved	
whisper__playWithMe__daytime__03	whisper	playWithMe	daytime	7.917	whisper_wav/whisper__playWithMe__daytime__03.wav	一人でも平気だけどさ、あなたと遊ぶ方が楽しいんだよね。ほら、こっち向いてよ。	approved	
whisper__playWithMe__daytime__04	whisper	playWithMe	daytime	5.316	whisper_wav/whisper__playWithMe__daytime__04.wav	ねえ、お昼何食べたの?私にも教えて。	approved	
whisper__playWithMe__daytime__05	whisper	playWithMe	daytime	8.892	whisper_wav/whisper__playWithMe__daytime__05.wav	ねえ、ここってなんかだるくなるよね。あたしが元気分けてあげよっか。ふふ。	approved	
whisper__playWithMe__daytime__06	whisper	playWithMe	daytime	6.616	whisper_wav/whisper__playWithMe__daytime__06.wav	ねぇ、お昼休みでしょ。あたしとおしゃべりする時間くらいいあるよね。	approved	
whisper__playWithMe__daytime__07	whisper	playWithMe	daytime	5.502	whisper_wav/whisper__playWithMe__daytime__07.wav	ねえ、お昼に食べたいもの迷ってるの?一緒に決めよ。	approved	
whisper__playWithMe__daytime__08	whisper	playWithMe	daytime	9.147	whisper_wav/whisper__playWithMe__daytime__08.wav	ねえねえ、午後もあなたが頑張れるように、あたしが応援してあげる。ねえ、こっち向いて。	approved	
whisper__playWithMe__daytime__09	whisper	playWithMe	daytime	7.684	whisper_wav/whisper__playWithMe__daytime__09.wav	ねえ、お昼ってなんかのんびりしちゃうよね。ちょっとさ、こっちに息抜きしにおいでよ。	approved	
whisper__playWithMe__evening__01	whisper	playWithMe	evening	6.291	whisper_wav/whisper__playWithMe__evening__01.wav	ねえ、もう夕方だよ。そろそろ私の方を見てくれてもよくない?	approved	
whisper__playWithMe__evening__10	whisper	playWithMe	evening	8.683	whisper_wav/whisper__playWithMe__evening__10.wav	なんかさ、今日ずっとあなたのことばっかり考えちゃうんだよね。今ちょっと構ってよ。	approved	
whisper__playWithMe__evening__02	whisper	playWithMe	evening	5.362	whisper_wav/whisper__playWithMe__evening__02.wav	ねぇ、私の番まだ。一緒に何かしたいんだけどな。	approved	
whisper__playWithMe__evening__03	whisper	playWithMe	evening	7.731	whisper_wav/whisper__playWithMe__evening__03.wav	別にいいけどさ、あたしだって一人で遊べるし、でもちょっとくらいこっち向いてよ。	approved	
whisper__playWithMe__evening__04	whisper	playWithMe	evening	6.616	whisper_wav/whisper__playWithMe__evening__04.wav	ねぇ、今日の夜ご飯、何にする?よかったら私と一緒に決めよう。	approved	
whisper__playWithMe__evening__05	whisper	playWithMe	evening	6.616	whisper_wav/whisper__playWithMe__evening__05.wav	ふぅ、今日もあと少しだね。休憩がてら一緒におしゃべりしよう。	approved	
whisper__playWithMe__evening__06	whisper	playWithMe	evening	5.873	whisper_wav/whisper__playWithMe__evening__06.wav	ねぇ、今日すっごい調合できたの。あなたに見てほしいな。	approved	
whisper__playWithMe__evening__07	whisper	playWithMe	evening	7.034	whisper_wav/whisper__playWithMe__evening__07.wav	ねぇ、そろそろ一息つかない。私、あなたとおしゃべりしたいなぁ。	approved	
whisper__playWithMe__evening__08	whisper	playWithMe	evening	7.963	whisper_wav/whisper__playWithMe__evening__08.wav	ねえ、そろそろ構ってほしいな。一分だけでいいから、ね。お願い。	approved	
whisper__playWithMe__evening__09	whisper	playWithMe	evening	6.756	whisper_wav/whisper__playWithMe__evening__09.wav	私さ、今あなたとおしゃべりしたい気分なんだ。ちょっとだけ付き合ってよ。	approved	
whisper__playWithMe__morning__01	whisper	playWithMe	morning	8.056	whisper_wav/whisper__playWithMe__morning__01.wav	ねぇ、それと私、どっちが大事なの?ねぇ、聞いてるの?もう…	approved	
whisper__playWithMe__morning__10	whisper	playWithMe	morning	3.783	whisper_wav/whisper__playWithMe__morning__10.wav	ねえ、そろそろ私のお相手してくれてもいいんじゃない?	approved	
whisper__playWithMe__morning__02	whisper	playWithMe	morning	5.78	whisper_wav/whisper__playWithMe__morning__02.wav	ねえ何してるの?あたしにも見せてよ。ねえ、一緒にやろう。	approved	
whisper__playWithMe__morning__03	whisper	playWithMe	morning	7.963	whisper_wav/whisper__playWithMe__morning__03.wav	私も暇じゃないんだけどさ。でもあなたと一緒の方が楽しいんだよね。頑張ってよ。	approved	
whisper__playWithMe__morning__04	whisper	playWithMe	morning	4.387	whisper_wav/whisper__playWithMe__morning__04.wav	ねぇ、朝から何してるの?あたしにも教えて。	approved	
whisper__playWithMe__morning__05	whisper	playWithMe	morning	7.243	whisper_wav/whisper__playWithMe__morning__05.wav	ねえ、あたし今ちょっと暇なんだよね。構ってほしいな。	approved	
whisper__playWithMe__morning__06	whisper	playWithMe	morning	7.963	whisper_wav/whisper__playWithMe__morning__06.wav	ねえ、さっき面白いもの見つけたの、聞いてくれる?ねえね、ねえってば。	approved	
whisper__playWithMe__morning__07	whisper	playWithMe	morning	6.988	whisper_wav/whisper__playWithMe__morning__07.wav	ねぇ、あたしのこと忘れてないよね。それ終わったらあたしにかまってね。	approved	
whisper__playWithMe__morning__08	whisper	playWithMe	morning	7.359	whisper_wav/whisper__playWithMe__morning__08.wav	ねぇ聞いて、さっきすっごい調合できたの。あなたに見てほしいな。	approved	
whisper__playWithMe__morning__09	whisper	playWithMe	morning	5.548	whisper_wav/whisper__playWithMe__morning__09.wav	ねぇ、今ちょっとだけ時間ない。私とおしゃべりしよう。	approved	
whisper__playWithMe__night__01	whisper	playWithMe	night	8.938	whisper_wav/whisper__playWithMe__night__01.wav	夜くらいさ、あたしと遊んでよ。ねえね、そっちより楽しいよ。ふふっ。	approved	
whisper__playWithMe__night__10	whisper	playWithMe	night	7.174	whisper_wav/whisper__playWithMe__night__10.wav	ねぇ、私今すっごくあなたに構ってほしい気分なの。あなたじゃなきゃダメなの。	approved	
whisper__playWithMe__night__02	whisper	playWithMe	night	7.87	whisper_wav/whisper__playWithMe__night__02.wav	ねぇ、もうそれおいでさ、あたしとゆっくりしよう。ね、いいでしょ。	approved	
whisper__playWithMe__night__03	whisper	playWithMe	night	9.031	whisper_wav/whisper__playWithMe__night__03.wav	一人でも平気だよ。でもね、あなたと一緒に過ごす方が楽しいの。ね、頑張って。	approved	
whisper__playWithMe__night__04	whisper	playWithMe	night	7.661	whisper_wav/whisper__playWithMe__night__04.wav	ねぇ、まだ起きてるんでしょ?私のこと、少しくらい気にしてほしいなぁ。	approved	
whisper__playWithMe__night__05	whisper	playWithMe	night	7.591	whisper_wav/whisper__playWithMe__night__05.wav	ねぇ、今やってるそれ楽しい。ふーん、私と喋る方が楽しいと思うんだけどなぁ。	approved	
whisper__playWithMe__night__06	whisper	playWithMe	night	8.799	whisper_wav/whisper__playWithMe__night__06.wav	今日はね、眠くなるまであなたとおしゃべりしたいな。ちょっとだけでいいからさ。付き合って。	approved	
whisper__playWithMe__night__07	whisper	playWithMe	night	7.452	whisper_wav/whisper__playWithMe__night__07.wav	なんか夜になるとあなたのことが気になってきちゃうんだよね。なんでだろう。	approved	
whisper__playWithMe__night__08	whisper	playWithMe	night	6.988	whisper_wav/whisper__playWithMe__night__08.wav	ね、ちょっとだけいい?寝る前に少しだけ私に時間ちょうだい。	approved	
whisper__playWithMe__night__09	whisper	playWithMe	night	7.406	whisper_wav/whisper__playWithMe__night__09.wav	ねぇ、私のこと忘れてないよね?夜だからってほったらかしは寂しいよ。	approved	
whisper__task__daytime__01	whisper	task	daytime	7.824	whisper_wav/whisper__task__daytime__01.wav	調合大成功って、もうこんな時間…いい感じだね。	approved	
whisper__task__daytime__10	whisper	task	daytime	5.827	whisper_wav/whisper__task__daytime__10.wav	タイマーの時間だよ。お疲れ様。いい感じだね。	approved	
whisper__task__daytime__02	whisper	task	daytime	6.663	whisper_wav/whisper__task__daytime__02.wav	はい、おしまい。よく頑張ったね。えらい、えらい。	approved	
whisper__task__daytime__03	whisper	task	daytime	6.941	whisper_wav/whisper__task__daytime__03.wav	たるるる、たるるる。時間だよ。たるるる、たるるる。	approved	
whisper__task__daytime__04	whisper	task	daytime	5.502	whisper_wav/whisper__task__daytime__04.wav	時間だよ。ちゃんとお昼ご飯食べた?何か食べてね。	approved	
whisper__task__daytime__05	whisper	task	daytime	4.387	whisper_wav/whisper__task__daytime__05.wav	時間だよ。なんかお昼って眠くなるよね。	approved	
whisper__task__daytime__06	whisper	task	daytime	7.081	whisper_wav/whisper__task__daytime__06.wav	時間だよ。	approved	
whisper__task__daytime__07	whisper	task	daytime	4.248	whisper_wav/whisper__task__daytime__07.wav	終了だよ。私もちょっと息抜きしよっかな。	approved	
whisper__task__daytime__09	whisper	task	daytime	7.963	whisper_wav/whisper__task__daytime__09.wav	はーい、時間だよ。午後もこの調子で行こう。応援してるからね。	approved	
whisper__task__evening__01	whisper	task	evening	8.892	whisper_wav/whisper__task__evening__01.wav	3、2、1はーいおしまいねえ何やってたの?見せて見せて	approved	
whisper__task__evening__10	whisper	task	evening	4.712	whisper_wav/whisper__task__evening__10.wav	タイマーの時間だよ。ねぇ、何してたの?	approved	
whisper__task__evening__02	whisper	task	evening	5.409	whisper_wav/whisper__task__evening__02.wav	時間だよ。ねえ、終わったらさ、あたしと遊ぼう。	approved	
whisper__task__evening__04	whisper	task	evening	6.105	whisper_wav/whisper__task__evening__04.wav	時間だよ。お疲れ様。今日のあなた、すっごくいい感じ。	approved	
whisper__task__evening__05	whisper	task	evening	7.127	whisper_wav/whisper__task__evening__05.wav	タイマーの時間だよ。ねえ、夕方ってお腹すかない?あたしだけかな?	approved	
whisper__task__evening__07	whisper	task	evening	5.641	whisper_wav/whisper__task__evening__07.wav	はーい、終了だよ。ね、ちょっと休憩する?	approved	
whisper__task__evening__08	whisper	task	evening	6.407	whisper_wav/whisper__task__evening__08.wav	たるるる、たるるる、時間だよ。たるるる、たるるる。	approved	
whisper__task__evening__09	whisper	task	evening	6.848	whisper_wav/whisper__task__evening__09.wav	終了の時間だよ。何か調合したの。私にも見せて。	approved	
whisper__task__morning__01	whisper	task	morning	6.338	whisper_wav/whisper__task__morning__01.wav	時間だよ。朝からちゃんとしてて偉いね。次行こっか。	approved	
whisper__task__morning__02	whisper	task	morning	8.102	whisper_wav/whisper__task__morning__02.wav	調合終了…なんちゃって。ねぇねぇ、何してたの?	approved	
whisper__task__morning__04	whisper	task	morning	7.081	whisper_wav/whisper__task__morning__04.wav	はい、時間だよ。朝からお疲れ様。いい感じだね。	approved	duplicate_x2
whisper__task__morning__05	whisper	task	morning	5.502	whisper_wav/whisper__task__morning__05.wav	時間だよ。朝からよく頑張ったね。えらいえらい。	approved	
whisper__task__morning__06	whisper	task	morning	6.941	whisper_wav/whisper__task__morning__06.wav	たるるる、たるるる、時間だよーたるるる、たるるる	approved	
whisper__task__morning__07	whisper	task	morning	5.595	whisper_wav/whisper__task__morning__07.wav	終了だよ。朝からいいペースだね。この調子で行こう。	approved	
whisper__task__morning__09	whisper	task	morning	4.434	whisper_wav/whisper__task__morning__09.wav	タイマーの時間だよ。朝からいい感じだね。	approved	
whisper__task__night__01	whisper	task	night	7.963	whisper_wav/whisper__task__night__01.wav	はーい、タイムアップー、終了。何してたの?私にも教えて。	approved	
whisper__task__night__10	whisper	task	night	6.57	whisper_wav/whisper__task__night__10.wav	時間だよ。うわぁ…ああ、私、ちょっと眠くなってきちゃった。	approved	
whisper__task__night__02	whisper	task	night	10.842	whisper_wav/whisper__task__night__02.wav	3、2、1、終了の時間です。なんか、いい匂いするね。	approved	
whisper__task__night__03	whisper	task	night	6.361	whisper_wav/whisper__task__night__03.wav	たるるるたるるる時間だよたるるるたるるる	approved	
whisper__task__night__04	whisper	task	night	6.663	whisper_wav/whisper__task__night__04.wav	時間だよ、こんな時間までお疲れ様。頑張り屋さんだね。	approved	
whisper__task__night__05	whisper	task	night	6.152	whisper_wav/whisper__task__night__05.wav	時間だよ。ねぇ、何してたの?私にも見せて。	approved	
whisper__task__night__07	whisper	task	night	8.938	whisper_wav/whisper__task__night__07.wav	終了だよ。ねぇ、何してるの?そろそろ寝よう。一緒に寝てあげるから。	approved	
whisper__task__night__08	whisper	task	night	6.825	whisper_wav/whisper__task__night__08.wav	タイマーおしまい。何か調合したの?あたしにも見せて。	approved	
whisper__task__night__09	whisper	task	night	9.356	whisper_wav/whisper__task__night__09.wav	はーい、タイマーの時間だよ。私が止めないとずっとやってるでしょ?もう。	approved	
whisper__wellDone__daytime__01	whisper	wellDone	daytime	10.146	whisper_wav/whisper__wellDone__daytime__01.wav	お疲れ様。午前中ずっと大変だったよね。よく頑張ったね。よーし、私とご飯にしよう。	approved	
whisper__wellDone__daytime__10	whisper	wellDone	daytime	7.499	whisper_wav/whisper__wellDone__daytime__10.wav	お疲れ様。たまには息抜きも大事だよ。私とおしゃべりでもしてリフレッシュしよう。	approved	
whisper__wellDone__daytime__02	whisper	wellDone	daytime	9.078	whisper_wav/whisper__wellDone__daytime__02.wav	お疲れ様。いっぱい頑張ったね。えらいよ。私特性のご褒美あげるね。何がいい?	approved	
whisper__wellDone__daytime__03	whisper	wellDone	daytime	9.449	whisper_wav/whisper__wellDone__daytime__03.wav	お疲れ様。ねえ、あたしには何でも話していいんだよ。頑張ってるのちゃんと知ってるから。	approved	
whisper__wellDone__daytime__04	whisper	wellDone	daytime	8.66	whisper_wav/whisper__wellDone__daytime__04.wav	お疲れ様。午前中よく頑張ったね。私が褒めてあげる。えらいえらい。	approved	duplicate_x2
whisper__wellDone__daytime__05	whisper	wellDone	daytime	8.845	whisper_wav/whisper__wellDone__daytime__05.wav	お疲れ様、ちゃんとご飯食べてる?食べないとダメだよ。あなたの体が一番なんだから。	approved	
whisper__wellDone__daytime__06	whisper	wellDone	daytime	9.356	whisper_wav/whisper__wellDone__daytime__06.wav	お疲れ様。午後も私が応援してるからね。まずは一息つこっか。こっちおいで。	approved	
whisper__wellDone__daytime__07	whisper	wellDone	daytime	9.263	whisper_wav/whisper__wellDone__daytime__07.wav	お疲れ様。ねえ、あなたってさ、私が出会った中で一番頑張り屋さんだと思うんだよね。本当に。	approved	
whisper__wellDone__daytime__08	whisper	wellDone	daytime	8.195	whisper_wav/whisper__wellDone__daytime__08.wav	お疲れ様。ねぇ、私に何か手伝えることない?遠慮しないでいってよね。	approved	
whisper__wellDone__daytime__09	whisper	wellDone	daytime	7.313	whisper_wav/whisper__wellDone__daytime__09.wav	お疲れ様。今日のあなためちゃくちゃいい感じだよ。私が保証する。	approved	
whisper__wellDone__evening__01	whisper	wellDone	evening	10.517	whisper_wav/whisper__wellDone__evening__01.wav	お疲れ様。一日よく頑張ったね。今日のあなた、本当にかっこよかった。なんか私まで元気もらっちゃった。	approved	
whisper__wellDone__evening__10	whisper	wellDone	evening	8.985	whisper_wav/whisper__wellDone__evening__10.wav	お疲れ様。今日のあなたには特別なご褒美が必要だね。んーと、何がいい?	approved	
whisper__wellDone__evening__02	whisper	wellDone	evening	8.52	whisper_wav/whisper__wellDone__evening__02.wav	お疲れ大変だったよね。今日はもう十分だよ。あとは私とのんびりしよう。	approved	
whisper__wellDone__evening__03	whisper	wellDone	evening	10.471	whisper_wav/whisper__wellDone__evening__03.wav	今日も一日お疲れ様。あなたが帰ってくる時間がさ、いつも私すっごく楽しみなんだよね。	approved	
whisper__wellDone__evening__04	whisper	wellDone	evening	9.31	whisper_wav/whisper__wellDone__evening__04.wav	お疲れ様。今日一日やりきったね。ほら、肩もんであげる。こっちおいで。	approved	
whisper__wellDone__evening__05	whisper	wellDone	evening	7.174	whisper_wav/whisper__wellDone__evening__05.wav	お疲れ様。今日はもう何もしなくていいから、あたしとダラダラしよう。ねっ。	approved	
whisper__wellDone__evening__06	whisper	wellDone	evening	9.588	whisper_wav/whisper__wellDone__evening__06.wav	お疲れ様。あなたが頑張ってるとこずっと見てたよ。ご褒美、何をしー?	approved	
whisper__wellDone__evening__07	whisper	wellDone	evening	7.87	whisper_wav/whisper__wellDone__evening__07.wav	お疲れ様。頑張ったんだからさ、今日は大好きなもの食べよ。私が一緒に決めてあげる。	approved	duplicate_x2
whisper__wellDone__evening__08	whisper	wellDone	evening	8.938	whisper_wav/whisper__wellDone__evening__08.wav	お疲れ様。いっぱい頑張って疲れたでしょ。ちょっとだけ甘やかしてあげよっか。ちょっとだけね。	approved	
whisper__wellDone__evening__09	whisper	wellDone	evening	8.892	whisper_wav/whisper__wellDone__evening__09.wav	お疲れ様。今日もいっぱい頑張ったね。あとは私とまったりしよう。	approved	
whisper__wellDone__morning__01	whisper	wellDone	morning	9.588	whisper_wav/whisper__wellDone__morning__01.wav	お疲れ様。大変だったでしょ。よく頑張ったね。偉いよ。ほら、肩揉んであげる。	approved	
whisper__wellDone__morning__10	whisper	wellDone	morning	7.963	whisper_wav/whisper__wellDone__morning__10.wav	お疲れ様。ね、無理しすぎてない?たまには私にも頼ってよね。	approved	
whisper__wellDone__morning__02	whisper	wellDone	morning	9.263	whisper_wav/whisper__wellDone__morning__02.wav	お疲れ様。朝からずっと頑張ってたんだね。私が美味しいもの作ってあげる。こっちおいで。	approved	
whisper__wellDone__morning__03	whisper	wellDone	morning	9.542	whisper_wav/whisper__wellDone__morning__03.wav	お疲れ様。疲れたでしょ。私はちゃんと見てたからね。あなたは本当に頑張り屋さんだよね。	approved	
whisper__wellDone__morning__04	whisper	wellDone	morning	8.892	whisper_wav/whisper__wellDone__morning__04.wav	お疲れ様。夜からずっと頑張ってたんでしょ?ちゃんとわかってるよ。なでなで。	approved	
whisper__wellDone__morning__05	whisper	wellDone	morning	8.613	whisper_wav/whisper__wellDone__morning__05.wav	お疲れ様。長い夜だったね。頑張った自分のこと、自分でも褒めてあげてね。	approved	
whisper__wellDone__morning__06	whisper	wellDone	morning	8.567	whisper_wav/whisper__wellDone__morning__06.wav	お疲れ様。ねぇ、無理してない。あなたの体が一番大事なんだから、ゆっくり休んでね。	approved	
whisper__wellDone__morning__07	whisper	wellDone	morning	8.288	whisper_wav/whisper__wellDone__morning__07.wav	お疲れ様。私はさ、いつでもあなたの味方なんだからね。忘れちゃダメだよ。	approved	
whisper__wellDone__morning__08	whisper	wellDone	morning	7.406	whisper_wav/whisper__wellDone__morning__08.wav	お疲れ様。今日のあなた、最高だったよ。ずっとそばで見てた私が保証する。	approved	
whisper__wellDone__morning__09	whisper	wellDone	morning	7.963	whisper_wav/whisper__wellDone__morning__09.wav	お疲れ様。今日のあなたに私から100点満点の花丸あげちゃう。よく頑張ったね。	approved	
whisper__wellDone__night__01	whisper	wellDone	night	8.66	whisper_wav/whisper__wellDone__night__01.wav	お疲れ様。こんな時間まで大変だったね。あたしがいっぱいなでなでしてあげる。	approved	
whisper__wellDone__night__10	whisper	wellDone	night	10.61	whisper_wav/whisper__wellDone__night__10.wav	今日も一日、本当にお疲れ様。ねえ、こっちおいでよ。あたしの隣でぼーっとするだけでもいいからさ。	approved	
whisper__wellDone__night__02	whisper	wellDone	night	8.195	whisper_wav/whisper__wellDone__night__02.wav	お疲れ様。長い一日だったでしょう。私特製のドリンク、隣で飲もう、ね。	approved	
whisper__wellDone__night__03	whisper	wellDone	night	10.378	whisper_wav/whisper__wellDone__night__03.wav	お疲れ様。今日もよく頑張ったね。たくさん褒めてあげるから、私の隣、おいでよ。	approved	
